station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
149644,#155,3.6,21700,"Eureka-Arcata, CA",06023011100,Humboldt County,0.287968441814596,0.445621001544231,0.101310043668122
149734,WSAC_58953e,0.9,40900,"Sacramento-Roseville-Folsom, CA",06113010402,Yolo County,0.504527813712807,0.110176800344976,0.035264483627204
149802,PCAPCD_BERKELEY,4.6,40900,"Sacramento-Roseville-Folsom, CA",06061020908,Placer County,0.481233595800525,0.193069956687229,0.033085590985375
149822,PCAPCD_CREEKSIDE,2.3,40900,"Sacramento-Roseville-Folsom, CA",06061022014,Placer County,0.087825560266505,0.232586311326469,0.061835748792271
149828,Bailey Ct,1.5,40900,"Sacramento-Roseville-Folsom, CA",06061020604,Placer County,0.245207534589098,0.125463118895251,0.036697247706422
149960,CD RVN DWNTWN,1.8,40900,"Sacramento-Roseville-Folsom, CA",06017031200,El Dorado County,0.196074731081336,0.224031327287716,0.071805273833671
149968,GWR Sarah,1.4,41860,"San Francisco-Oakland-Fremont, CA",06013374000,Contra Costa County,0.81053979091103,0.408363558779603,0.075398535114175
150020,Deck,11.4,31080,"Los Angeles-Long Beach-Anaheim, CA",06037195400,Los Angeles County,0.351338545368396,0.144721233689205,0.091271158313973
150354,Outside,1.5,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085512005,Santa Clara County,0.538218000904568,0.048287309491474,0.040822072072072
150700,Green Valley Rd (East),0.1,42220,"Santa Rosa-Petaluma, CA",06097153712,Sonoma County,0.282813273897969,0.241208519068846,0.161874334398296
150706,"Auburn, Ca",1.3,40900,"Sacramento-Roseville-Folsom, CA",06061021604,Placer County,0.181373879989139,0.113556098886172,0.026506024096386
150730,Lodgepole Visitor Center,2.8,47300,"Visalia, CA",06107000102,Tulare County,0.522698345354264,0.234196011879508,0.077962577962578
150736,Covelite &amp; WT,1.0,41860,"San Francisco-Oakland-Fremont, CA",06013355111,Contra Costa County,0.712437205054042,0.198623853211009,0.030933479332056
150744,Freshpond Outdoor,1.9,40900,"Sacramento-Roseville-Folsom, CA",06017031406,El Dorado County,0.075229357798165,0.144948453608247,0.051903114186851
150782,Sonora_Apple_Valley,0.9,43760,"Sonora, CA",06109002202,Tuolumne County,0.131461828141048,0.259500171174255,0.076845298281092
150788,Front Porch,4.9,40900,"Sacramento-Roseville-Folsom, CA",06017030502,El Dorado County,0.231225296442688,0.118322121092204,0.024199288256228
150814,Apgar Longfellow Outdoor,1.6,41860,"San Francisco-Oakland-Fremont, CA",06001401000,Alameda County,0.666241835271627,0.163343435954698,0.058147713950762
150824,Burl Road,2.1,42100,"Santa Cruz-Watsonville, CA",06087121200,Santa Cruz County,0.201696933611194,0.179191616766467,0.08201554543018
150836,I only wanted to see you laughing in the purple air,2.4,41860,"San Francisco-Oakland-Fremont, CA",06001404400,Alameda County,0.413189077794951,0.066117121758544,0.020813320525136
150956,Forestry building South East,6.4,17020,"Chico, CA",06007003300,Butte County,0.393519605541207,0.290913359943649,0.062588904694168
150962,Fiscal Annex,4.1,17020,"Chico, CA",06007003300,Butte County,0.393519605541207,0.290913359943649,0.062588904694168
150972,Colusa,1.5,40900,"Sacramento-Roseville-Folsom, CA",06017030506,El Dorado County,0.131351869606903,0.138063279002876,0.057565789473684
151026,GBUAPCD_BPFireDept,1.7,13860,"Bishop, CA",06027000500,Inyo County,0.366018261214768,0.251010509296686,0.043676069153776
151030,TheRanchEast,1.5,40900,"Sacramento-Roseville-Folsom, CA",06017030709,El Dorado County,0.225893200153669,0.03937764118325,0.024968789013733
151036,GBUAPCD_ShoshoneSchool,0.9,13860,"Bishop, CA",06027000800,Inyo County,0.428711576193591,0.366511318242344,0.02052091554854
151040,Trembath,1.4,41860,"San Francisco-Oakland-Fremont, CA",06013306004,Contra Costa County,0.598239710069894,0.248313440581214,0.032594524119948
151054,Wild Goose,1.6,40900,"Sacramento-Roseville-Folsom, CA",06017031100,El Dorado County,0.250521251002406,0.269002089024586,0.037235627047959
151090,boyle2-95747,1.4,40900,"Sacramento-Roseville-Folsom, CA",06061021328,Placer County,0.471908960426492,0.125999589911831,0.027777777777778
151094,Chestnut/Farm Bureau,0.2,41860,"San Francisco-Oakland-Fremont, CA",06013331000,Contra Costa County,0.568108871485428,0.2702738283307,0.02421500798297
151184,Cedar Grove Purple Air,1.8,23420,"Fresno, CA",06019006411,Fresno County,0.136375488917862,0.229465449804433,0.041244083840433
151192,F St Alley,0.2,40900,"Sacramento-Roseville-Folsom, CA",06067000200,Sacramento County,0.305089334055225,0.077029648101967,0.058640373637779
151220,"Vista Del Mar, Pittsburg, CA",0.5,41860,"San Francisco-Oakland-Fremont, CA",06013355201,Contra Costa County,0.90460931722948,0.13657093553556,0.050340954673085
151268,Monta Vista South Lindy Ln,8.9,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085507702,Santa Clara County,0.845270474463584,0.050015110305228,0.027847309136421
151312,Echo,0.7,40900,"Sacramento-Roseville-Folsom, CA",06017032002,El Dorado County,0.319148936170213,0.333333333333333,0.0
151382,Mira Vista Hills,0.7,41860,"San Francisco-Oakland-Fremont, CA",06013355107,Contra Costa County,0.668628500089174,0.203498750446269,0.036021676761237
151398,South Claremont,10.9,31080,"Los Angeles-Long Beach-Anaheim, CA",06037402002,Los Angeles County,0.471531100478469,0.343060323688082,0.023497514685947
151484,Black River Ct,2.0,40900,"Sacramento-Roseville-Folsom, CA",06067004015,Sacramento County,0.590065228299047,0.119614799797263,0.122678671918965
