station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
9001,,7.90970677595628,42200,"Santa Maria-Santa Barbara, CA",06083001604,Santa Barbara County,0.44961934617107,0.145711719802425,0.077625570776256
2007,Indio Amistad High School,8.99519863387978,40140,"Riverside-San Bernardino-Ontario, CA",06065045303,Riverside County,0.923275862068966,0.479310344827586,0.128299120234604
5001,Clovis-Villa,19.422912295082,23420,"Fresno, CA",06019005607,Fresno County,0.524725274725275,0.512468300929839,0.040520984081042
3001,Lakeport-Lakeport Blvd.,9.83838961748634,17340,"Clearlake, CA",06033000402,Lake County,0.31810766721044,0.267536704730832,0.108333333333333
2005,Pasadena,12.629300273224,31080,"Los Angeles-Long Beach-Anaheim, CA",06037463500,Los Angeles County,0.525812304139865,0.245038317940656,0.081451612903226
1001,Truckee-Fire Station,9.5797106557377,46020,"Truckee-Grass Valley, CA",06057001209,Nevada County,0.253861652115514,0.06178643384822,0.032745591939547
0006,Roseville-N Sunrise Ave,14.2068404371585,40900,"Sacramento-Roseville-Folsom, CA",06061020717,Placer County,0.499064371257485,0.120134730538922,0.088317322590641
5001,Palm Springs,8.17014155737705,40140,"Riverside-San Bernardino-Ontario, CA",06065941300,Riverside County,0.349792817679558,0.291091160220994,0.093484419263456
0006,Sacramento-Del Paso Manor,14.6781510928962,40900,"Sacramento-Roseville-Folsom, CA",06067006002,Sacramento County,0.350726946823342,0.408945686900958,0.091749907510174
0005,San Jose - Jackson,11.4445707650273,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085501101,Santa Clara County,0.742046234836347,0.229553264604811,0.04374286801065
1602,Pico Rivera #2,14.4358860655738,31080,"Los Angeles-Long Beach-Anaheim, CA",06037500403,Los Angeles County,0.965970832141836,0.163568773234201,0.03921568627451
0007,Santa Cruz,8.76527978142076,42100,"Santa Cruz-Watsonville, CA",06087121401,Santa Cruz County,0.402426693629929,0.275587703435805,0.07447528774543
0005,Modesto-14th Street,15.0817017213115,33700,"Modesto, CA",06099001800,Stanislaus County,0.594020797227036,0.665213600697472,0.144973544973545
0011,Santa Barbara,8.25399174863388,42200,"Santa Maria-Santa Barbara, CA",06083000801,Santa Barbara County,0.764468031336871,0.335355066969927,0.031738730450782
0009,Pechanga,10.0171259562842,40140,"Riverside-San Bernardino-Ontario, CA",06065043203,Riverside County,0.419765840220386,0.172865013774105,0.040268456375839
1002,Stockton-Hazelton,14.5888112021858,44700,"Stockton-Lodi, CA",06077001900,San Joaquin County,0.948897256589564,0.442571899615314,0.078154784597789
2006,San Luis Obispo,8.53641693989071,42020,"San Luis Obispo-Paso Robles, CA",06079011103,San Luis Obispo County,0.334015195791935,0.288388417665984,0.005635245901639
0008,King City 2,8.6153343989071,41500,"Salinas, CA",06053011302,Monterey County,0.890184819666248,0.592874373724253,0.031297324583544
0002,Carmel Valley,7.61871795081967,41500,"Salinas, CA",06053011001,Monterey County,0.110560093348891,0.158957845433255,0.057588482303539
0005,Calexico-Ethel Street,10.7327918032787,20940,"El Centro, CA",06025012004,Imperial County,0.980968045112782,0.508928571428571,0.219453761379971
8002,Atascadero,9.199059836065572,42020,"San Luis Obispo-Paso Robles, CA",06079012502,San Luis Obispo County,0.300513698630137,0.348466678088059,0.053701938353988
4008,Long Beach-Route 710 Near Road,14.1475278688525,31080,"Los Angeles-Long Beach-Anaheim, CA",06037571701,Los Angeles County,0.90473328324568,0.529082096334444,0.098800505050505
0010,Joshua Tree NP - Cottonwood Visitor Center,6.96782158469945,40140,"Riverside-San Bernardino-Ontario, CA",06065046900,Riverside County,0.631062670299728,0.625962596259626,0.154034229828851
0015,Pleasanton - Owens Ct,11.6440090163934,41860,"San Francisco-Oakland-Fremont, CA",06001450743,Alameda County,0.800134498991258,0.119569603227976,0.045159847976749
0008,Chico-East Avenue,15.9461994535519,17020,"Chico, CA",06007000104,Butte County,0.354163119359782,0.326996197718631,0.068085106382979
1023,Bishop Tribe EMO,14.5820884699454,13860,"Bishop, CA",06027000400,Inyo County,0.485789014821273,0.243358129649309,0.04922042188933
