state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name
06,037,1302,88101,1,PM2.5 - Local Conditions,2008-11-02,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019-04-01,Y,,SLAMS,,0972,South Coast Air Quality Management District,94733,33.901389,-118.205,WGS84,1.0,27.0,5.0,TOP OF BUILDING,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,069,0002,88101,3,PM2.5 - Local Conditions,2010-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2010-01-01,Y,,SLAMS,,0721,Monterey Bay Unified APCD,1285,36.843425,-121.3621,NAD83,0.0,126.0,6.0,TOP OF BUILDING,Hollister,1979 Fairview Rd,California,San Benito,Hollister,41940,"San Jose-Sunnyvale-Santa Clara, CA",488,"San Jose-San Francisco-Oakland, CA",,
06,001,0009,88101,3,PM2.5 - Local Conditions,2009-10-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2009-10-01,Y,,SLAMS,,0086,Bay Area Air Quality Management District,93907,37.743065,-122.169935,WGS84,6.0,11.0,8.0,TOP OF BUILDING,Oakland,9925 International Blvd,California,Alameda,Oakland,41860,"San Francisco-Oakland-Hayward, CA",488,"San Jose-San Francisco-Oakland, CA",,
06,019,0011,88101,2,PM2.5 - Local Conditions,2012-01-25,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2012-01-25,,,SLAMS,,0145,California Air Resources Board,96528,36.78538,-119.77321,NAD83,1.0,96.0,,,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",260,"Fresno-Madera, CA",,
06,073,1016,88101,1,PM2.5 - Local Conditions,2012-02-18,2023-06-30,,POINT,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2019-09-10,,,,,0942,San Diego County Air Pollution Control District,95699,32.845709,-117.123964,NAD83,1.0,134.0,6.0,TOP OF BUILDING,San Diego - Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,41740,"San Diego-Carlsbad, CA",,,,
06,085,0005,88101,3,PM2.5 - Local Conditions,2012-10-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2012-10-01,Y,Y,SLAMS,NCORE,0086,Bay Area Air Quality Management District,91424,37.348497,-121.894898,WGS84,20.0,31.0,8.7,TOP OF BUILDING,San Jose - Jackson,158B JACKSON ST,California,Santa Clara,San Jose,41940,"San Jose-Sunnyvale-Santa Clara, CA",488,"San Jose-San Francisco-Oakland, CA",,
06,111,3001,88101,3,PM2.5 - Local Conditions,2012-01-26,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2012-01-26,Y,,SLAMS,,1118,Ventura County APCD,1619,34.25239,-119.143182,NAD83,0.0,43.0,,TOP OF BUILDING,El Rio-Rio Mesa School #2,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a City,37100,"Oxnard-Thousand Oaks-Ventura, CA",348,"Los Angeles-Long Beach, CA",,
06,001,0012,88101,3,PM2.5 - Local Conditions,2014-02-01,,,MOBILE,MICROSCALE,0 M TO 100 M,POPULATION EXPOSURE; SOURCE ORIENTED,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2014-02-01,Y,,SLAMS,NEAR ROAD,0086,Bay Area Air Quality Management District,97584,37.793624,-122.263376,WGS84,1.0,3.9,6.4,TOP OF BUILDING,Laney College,Laney College Eighth St. parking lot Aisle J,California,Alameda,Oakland,41860,"San Francisco-Oakland-Hayward, CA",488,"San Jose-San Francisco-Oakland, CA",,
06,097,0004,88101,3,PM2.5 - Local Conditions,2014-01-09,,,AREA,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2014-01-09,Y,,SLAMS,,0086,Bay Area Air Quality Management District,97616,38.403765,-122.818294,WGS84,2.0,78.0,2.0,TOP OF BUILDING,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,42220,"Santa Rosa, CA",488,"San Jose-San Francisco-Oakland, CA",,
06,063,1010,88101,2,PM2.5 - Local Conditions,2015-10-30,2022-08-09,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015-10-30,,,,,0145,California Air Resources Board,97358,39.81336,-120.47069,WGS84,20.0,8.0,,,Portola,"420 Gulling Street, Portola, CA 96122",California,Plumas,Portola,,,,,,
