state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
06,071,0027,88101,3,PM2.5 - Local Conditions,2015-08-01,,,MOBILE,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2022-03-10,,,SLAMS,NEAR ROAD,0972,South Coast Air Quality Management District,99504,34.030833,-117.61722,WGS84,3.04,258.0,4.5,TOP OF BUILDING,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.61722 34.030833),40140,"Riverside-San Bernardino-Ontario, CA",6430,06071001803,San Bernardino County,3474,0.828727691421992,0.161824520627542,0.0509977827051,0.306309904153355,0.071316614420063,14.4492994535519
06,073,1026,88101,1,PM2.5 - Local Conditions,2020-01-01,2023-04-06,,AREA,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2020-01-01,,,,,0942,San Diego County Air Pollution Control District,104551,32.710177,-117.142665,NAD83,2.0,34.0,2.0,GROUND LEVEL SUPPORT,San Diego - Sherman Elementary School,450B 24th Street,California,San Diego,San Diego,41740,"San Diego-Carlsbad, CA",,,,,POINT (-117.142665 32.710177),41740,"San Diego-Chula Vista-Carlsbad, CA",6552,06073004700,San Diego County,1446,0.678423236514523,0.23314606741573,0.041938490214352,0.067425569176883,0.058238636363636,11.7049519125683
06,065,2007,88101,3,PM2.5 - Local Conditions,2024-01-01,,,AREA,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2024-01-01,,,SPM,,0972,South Coast Air Quality Management District,105237,33.72537,-116.206842,WGS84,2.0,-8.0,1.8,TOP OF BUILDING,Indio Amistad High School,"44801 Golf Center Parkway, Indio CA, 92201",California,Riverside,Indio,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-116.206842 33.72537),40140,"Riverside-San Bernardino-Ontario, CA",2293,06065045303,Riverside County,2320,0.923275862068966,0.479310344827586,0.128299120234604,0.42204628501827,0.461630695443645,8.99519863387978
06,073,1016,88101,4,PM2.5 - Local Conditions,2023-06-30,,,POINT,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,2023-06-30,,,SLAMS,,0942,San Diego County Air Pollution Control District,95699,32.845709,-117.123964,NAD83,1.0,134.0,6.0,TOP OF BUILDING,San Diego - Kearny Villa Rd.,"6125A KEARNY VILLA RD., SAN DIEGO",California,San Diego,San Diego,41740,"San Diego-Carlsbad, CA",,,,,POINT (-117.123964 32.845709),41740,"San Diego-Chula Vista-Carlsbad, CA",6228,06073009400,San Diego County,4873,0.575415555099528,0.331225680933852,0.092009685230024,0.0,0.0,11.8629721311475
06,073,1017,88101,3,PM2.5 - Local Conditions,2023-06-30,,,,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,2023-06-30,Y,,SLAMS,NEAR ROAD,0942,San Diego County Air Pollution Control District,99631,32.985428,-117.082198,WGS84,5.0,219.0,2.0,SIDE OF BUILDING,San Diego -Rancho Carmel Drive,11403 Rancho Carmel Drive,California,San Diego,San Diego,41740,"San Diego-Carlsbad, CA",,,,,POINT (-117.082198 32.985428),41740,"San Diego-Chula Vista-Carlsbad, CA",8723,06073017056,San Diego County,4534,0.598588442876048,0.062887307780583,0.052954719877206,0.070835803200948,0.042786615469007,11.7823969945355
06,037,1302,88101,3,PM2.5 - Local Conditions,2024-01-01,,,AREA,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2024-01-01,,,SLAMS,,0972,South Coast Air Quality Management District,94733,33.901389,-118.205,WGS84,1.0,27.0,1.8,TOP OF BUILDING,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-118.205 33.901389),31080,"Los Angeles-Long Beach-Anaheim, CA",7448,06037542000,Los Angeles County,5231,1.0,0.323647486140317,0.066194690265487,0.308330947609505,0.067612687813022,14.4338745901639
06,029,0016,88101,1,PM2.5 - Local Conditions,2000-02-18,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2005-03-01,Y,Y,SLAMS,,0145,California Air Resources Board,1014,35.324636,-118.997627,NAD83,18.22,0.0,2.0,TOP OF BUILDING,Bakersfield-Airport (Planz),"410 E. PLANZ RD. BAKERSFIELD, CA  93307",California,Kern,Bakersfield,12540,"Bakersfield, CA",,,,,POINT (-118.997627 35.324636),12540,"Bakersfield-Delano, CA",5657,06029003103,Kern County,4204,0.873215984776403,0.632116788321168,0.101958525345622,0.41219723183391,0.077747989276139,15.9909170218579
06,065,2002,88101,3,PM2.5 - Local Conditions,2000-01-01,2022-04-21,,,,,UNKNOWN,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,2020-01-01,,,,,0972,South Coast Air Quality Management District,1253,33.70853,-116.21537,WGS84,0.0,0.0,1.8,TOP OF BUILDING,Indio,"46-990 JACKSON ST., INDIO",California,Riverside,Indio,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-116.21537 33.70853),40140,"Riverside-San Bernardino-Ontario, CA",4400,06065049502,Riverside County,3182,0.979572595851666,0.573852922690132,0.221585482330468,0.369218174375767,0.613324624428478,9.061847814207653
06,101,0003,88101,1,PM2.5 - Local Conditions,1998-12-19,2020-04-10,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014-01-30,,,,,0145,California Air Resources Board,1567,39.138773,-121.618549,WGS84,0.0,20.0,6.0,,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,49700,"Yuba City, CA",472,"Sacramento-Roseville, CA",,,POINT (-121.618549 39.138773),49700,"Yuba City, CA",6383,06101050202,Sutter County,4123,0.659713800630609,0.372753763963089,0.081746031746032,0.297385620915033,0.136036625245258,15.8829953551913
06,065,8005,88101,1,PM2.5 - Local Conditions,2005-10-25,,,,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015-05-19,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,92995,33.99636,-117.4924,NAD83,1.0,250.0,,,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.4924 33.99636),40140,"Riverside-San Bernardino-Ontario, CA",7967,06065040403,Riverside County,5518,0.806814063066328,0.139543312794491,0.063165365507452,0.277167947310648,0.029343629343629,14.3894204918033
