sensor_index,name,latitude,longitude,pm2.5
4311,Ashby,38.758102,-121.20274,0.3
4333,Saratoga_Hills,37.26342,-122.04283,0.8
266475,2xx Grand,37.481922,-122.24039,0.0
4339,Orinda,37.90827,-122.193504,0.2
4355,Laurel/California,36.968987,-122.03479,2.3
4391,Nik’s House of Ill Repute,38.300407,-122.0245,0.7
266557,PurpleAir1,34.1408,-118.69908,14.5
4417,Point Fermin,33.70755,-118.291084,4.6
4421,Fireplace smoke pollution observation station 1.,37.88545,-122.25066,1.8
4431,SchnauzerLogic Studios,37.248825,-121.950264,0.6
4445,Still Creek Pl,37.827534,-121.94319,1.0
4478,Pacific Union College,38.57168,-122.43616,0.0
4520,"San Luis Obispo, Meadow Street",35.26587,-120.65855,3.0
4571,Marineland Outdoor,33.865505,-118.396164,6.4
4575,Alum Rock (Pala Ave),37.366795,-121.83837,0.2
4588,"Pavion Park, Mission Viejo, CA",33.61385,-117.63171,4.9
4606,Stevens Canyon,37.28064,-122.11939,0.0
4615,Alexander_Ave,37.457714,-122.22478,0.0
266795,CBE64,37.784306,-122.209045,4.8
4658,Concord,37.969025,-122.015884,0.4
266811,CBE38,37.72728,-122.18157,2.5
266875,CBE48,37.74743,-122.1641,2.4
4746,scap_26,34.08586,-118.12516,
4793,Buckeye Circle,37.998215,-122.63344,0.0
4797,Glengarry,37.031498,-122.069084,0.0
267019,CbadisRad!,33.166344,-117.34213,5.5
4974,Coastal Peak,33.601303,-117.8082,4.5
4980,Cameron Airpark,38.67877,-120.98974,0.9
5016,AQMD_NR_04,33.85964,-118.200714,13.4
267289,CBE36,37.768585,-122.19023,2.4
5151,Alamo-Erselia Trail,37.86313,-122.02302,0.0
267299,CBE40,37.796745,-122.22692,2.6
267305,CBE04,37.755924,-122.18679,1.8
267313,Back yard,34.175793,-118.12465,19.5
267331,Scott-Fox Puppy,34.18289,-118.16325,17.0
5218,SCAP_50,34.074867,-118.14354,3.2
267457,Campina,37.544514,-121.92642,1.6
5340,IEAS_SCANS_001_outdoor,38.552937,-121.78546,1.8
267533,"2 miles S of Mt. Laguna, CA",32.842,-116.417,3.0
5448,Sunnyside Eagles Outside,37.730488,-122.449265,2.7
267621,Pali Circle No 1,34.074394,-118.56352,13.1
267631,Pali circle #2,34.074413,-118.564255,10.6
5488,Spruce @ 16th,36.618027,-121.919815,2.1
5504,Adamsboro,34.365402,-118.55242,8.6
267653,XRDS Elementary School,34.02273,-118.47823,8.6
267669,17220 Palisades Cir.,34.07476,-118.56347,11.1
267701,CBE32,37.76771,-122.19572,2.1
267703,1333 Jones St.,37.79405,-122.4148,5.3
267697,CBE14,37.780407,-122.21168,2.1
267699,CBE10,37.742733,-122.17396,3.0
5574,CCA 31st and Chestnut,33.813465,-118.195885,6.0
5650,Midtown Santa Cruz,36.981,-122.012,2.4
5744,Alto,34.413723,-119.28503,7.8
5776,Jersey Noe Air Station Alpha,37.750687,-122.435,0.0
5800,Hope Ranch,34.41936,-119.76352,4.9
5804,Oxford Triangle,33.987106,-118.45132,0.0
5810,Hunting Palisades,34.03836,-118.51824,6.5
5820,Tehachapi Alta Estates ,35.116005,-118.45592,1.0
5868,Alpine Hills,37.385323,-122.19962,2.1
268079,S.T.A.R. Labs Satellite,33.64783,-117.93263,5.7
268118,Picadilly,34.454952,-118.628174,13.8
268133,CBE42,37.773357,-122.173805,1.4
268139,Williams Ranch North,34.46501,-118.629524,13.9
6086,Ruscello Ln,36.98005,-119.65871,0.0
6162,CCA 179th and Amie,33.8681,-118.34815,6.5
6170,CCA Hillcrest and Obama,34.021492,-118.34324,6.4
6178,CCA Carson and Elm,33.83253,-118.18794,6.3
6186,CCA Michelangelo and Vitruvius,37.988792,-121.6871,0.6
6198,CCA Cam Verde and Via Sereno,33.88648,-117.80529,7.6
6214,CCA Locust and Southgate,33.861294,-117.95829,7.9
6220,CCA 27th and Brighton,34.030903,-118.301506,10.8
268443,Bonview Elementary,34.034428,-117.6365,10.1
6384,Sausalito 2,37.865772,-122.50299,1.1
6408,Amberwood,37.09569,-121.63899,1.7
6456,AQMD_NASA_37,34.45086,-118.51963,0.0
6458,AQMD_NASA_33,34.17129,-118.17784,13.3
6472,AQMD_NASA_34,34.111187,-118.21065,8.8
268632,López Family,36.956783,-121.76231,2.5
268708,PCE,34.077957,-118.56903,4.8
6572,Heritage Oaks Park,37.35448,-122.08019,33.0
6648,FRAQMD office,39.149254,-121.62204,1.9
268830,Robinson Park,34.16486,-118.15167,16.6
6736,Duarte Hills,34.15206,-117.93399,17.0
268888,Lamanda Park Library,34.14347,-118.09831,15.6
6764,SCNP_14_Shandon,35.6564,-120.376366,1.4
268916,Linda Vista Library,34.170067,-118.17776,21.0
6780,AirMonitor,37.18384,-119.67495,2.1
268966,Washington Park,34.168476,-118.135895,18.7
6836,SCSG_15,33.935528,-118.16851,4.9
6852,AQMD_NASA_291,34.199387,-118.17296,22.1
6898,AQMD_NASA_49,33.980698,-117.9537,10.0
6962,Brentwood Fiano Ln,37.898823,-121.722824,0.1
7004,Taawim Bwiapo,37.492897,-120.17398,1.0
269172,Victory Park,34.160194,-118.09697,13.7
7026,SAW,37.220757,-119.6835,1.8
269192,MonteCedro,34.18394,-118.134056,17.4
269238,Roble ADU,37.446747,-122.18413,0.2
269275,D.H. White Elementary,38.165348,-121.6947,0.0
269283,St Catherines,38.057438,-122.15945,0.2
269293,East K St.,38.049034,-122.14696,0.2
269303,Loma Vista,34.160664,-118.12065,15.5
269299,Stonegate,38.36172,-121.93792,2.2
269311,Phoenix,38.139305,-122.24527,0.2
269319,JB Benicia,38.08046,-122.169044,0.2
269372,Tom,37.30175,-121.89128,0.0
7272,Rancho Palos Verdes (Silver Spur),33.786015,-118.37841,5.8
7278,Natomas-Clayton Way,38.659187,-121.49993,0.9
7282,Linda Mar Valley,37.58816,-122.49687,0.9
7284,ShippAQWx,36.86452,-119.745804,2.3
7290,Hacienda,34.180466,-118.41769,8.9
7316,Ecole Bilingue de Berkeley,37.85483,-122.289375,5.5
7428,Browns Valley,38.312454,-122.34084,0.0
269582,HABEMATOLEL 4 BLUE LAKES,39.1653,-122.99854,0.0
269590,MLS-Kletsel-3,39.02085,-122.2825,0.0
269614,Sherwood wearhouse,39.39981,-123.35986,0.2
269616,MLS-Middletown- Air1,38.730324,-122.62424,0.0
269638,MLS-Cahto-3,39.669216,-123.49625,0.4
269634,MLS-TRIAD- 1Redwood Valley Rancheria,39.285748,-123.18375,0.1
269644,MLS-Big Valley - 48,39.015247,-122.88952,0.1
269646,Potter Valley Tribal Office,39.11945,-123.20152,0.4
269652,MLS-HABEMATOLEL-1,39.163227,-122.91161,0.5
269666,MLS-Cahto-2,39.669643,-123.49569,0.0
269676,Old Sherwood rez,39.540634,-123.489,0.0
269672,HABEMATOLEL 5 EDUCATION CENTER,39.176537,-122.91455,0.1
7562,2264 University,38.56814,-121.404884,0.6
269902,Nelavida,34.119698,-118.233154,21.6
7794,Bretz Mill,37.08594,-119.31424,3.4
7806,Davis (Ivy Town 2),38.55365,-121.73785,0.9
269978,JEN AIR,37.86832,-120.42208,0.0
7846,Hillside Ave,36.603,-121.9294,1.7
7964,Upper Lake Middle School,39.163486,-122.90181,0.0
7968,CARB_SMOKE_LCAQMD_KV_HIGH,38.97451,-122.83057,0.0
8024,Willows South,39.518223,-122.18941,2.7
8056,CARB_SMOKE_AAD_JACKSON,38.352535,-120.7672,1.1
8064,CARB_SMOKE_LCAQMD_LUCERNE_ELE,39.083836,-122.78951,0.0
8076,CARB_SMOKE_TCAPCD_CORNINGHIGHSCHOOL,39.934937,-122.173294,0.8
8078,CARB_SMOKE_LCAQMD_CLEARLAKE_COMMUNITY_SCHOOL,38.93274,-122.62466,0.0
8080,CARB_SMOKE_EDCAQMD_Pollock Pines,38.766277,-120.589935,0.0
8092,CARB_SMOKE_EDCAQMD_Georgetown,38.911945,-120.82939,22.9
8116,CARB_SMOKE_SHASTAAQMD_ENTERPRISEHSQUAD,40.55816,-122.35098,1.7
8130,CARB_SMOKE_LCAQMD_LLOYD_HANCE,38.99503,-122.88405,0.0
8136,CARB_SMOKE_SHASTAAQMD_IGOONOSCHOOL,40.503418,-122.54062,0.6
8140,CARB_SMOKE_BCAQMD_BIGGS,39.414948,-121.70369,2.9
8192,CARB_SMOKE_BCAQMD_NORD,39.780655,-121.955666,1.9
8218,CARB SMOKE EDCAQMD Fresh Pond,38.760143,-120.53089,1.0
8242,Covelo PA,39.73806,-123.17335,0.1
8268,MDAQMD-HLND-CSDPARK,34.76599,-117.32601,3.3
8274,MDAQMD-JBWD,34.13791,-116.31579,5.2
8288,MDAQMD-SVUSD-SVHS,34.89701,-116.88852,5.9
8292,MDAQMD-SVUSD-FI-FIMS,35.25874,-116.69843,2.0
8294,MDAQMD-SVUSD-NSES,34.86597,-116.6617,1.3
8296,MDAQMD-IRON-MOUNTAIN,34.14682,-115.12097,0.6
8300,MDAQMD-AV-LCER,34.53341,-117.27901,2.4
8304,MDAQMD-NDLS-HS,34.84089,-114.61659,0.5
8310,MDAQMD-HES2,34.41647,-117.28566,5.1
8320,MDAQMD-SVUSD-FI-LE,35.264942,-116.69812,0.7
8322,MDAQMD-MWD-GC2,34.29076,-114.17467,6.8
8326,MDAQMD-SJUSD-PH,34.45072,-117.64349,6.7
8334,MDAQMD-SJUSD-WRI,34.36143,-117.63628,0.3
8340,MDAQMD-VVUHSD-HAWKS,34.5045,-117.37447,4.0
8368,Upper Vista Tesoro,35.033035,-120.542496,4.6
270534,Playhouse Village Park,34.147762,-118.136375,17.1
270542,La Pintoresca,34.169212,-118.149796,17.8
8444,Chino Hills (Alterra),33.953423,-117.696915,9.7
270654,Highlands,34.073345,-118.563644,9.6
8628,Rosamond csd,34.866337,-118.19447,1.4
8684,Altura Ave (outside),34.235302,-118.26527,11.6
8702,Ridgecrest Indian Wells Valley water district,35.64626,-117.723724,1.3
270944,Community Center,38.366383,-122.33767,1.0
270972,"Last Chance Ditch, Belford Rd.",39.498898,-119.83063,1.0
8862,CCA Helena and Medio,34.051643,-118.4802,
271012,676 Palisades Drive 90272,34.065613,-118.43338,6.4
271008,Alameda Lookout,37.79157,-122.28249,1.4
8956,CCA 4th and Los Altos,33.77166,-118.12528,4.3
8982,CCA Anza and Carson,33.830296,-118.36127,8.1
8988,"321 Wellington Ave, Clyde, CA",38.02858,-122.0301,0.1
9140,CCA Big Blue and Gracie,39.242733,-121.00093,3.1
271303,Tomarian,34.083347,-118.27821,9.9
9158,CCA Carnes and Seeley,33.724167,-116.29173,2.1
9162,CCA Semilon and Viognier,36.98806,-121.58136,3.2
9168,CCA Bates and Sunset,34.09818,-118.28198,4.9
9172,Temescal,33.766624,-117.45601,12.2
9180,SCTV_30,33.761765,-117.49799,10.7
9190,CCA Tierra Grande and Via Paloma,36.537224,-121.79822,0.4
9196,SCTV_12,33.799114,-117.527626,8.6
9206,SCTV_27,33.747086,-117.46061,11.0
9214,SCPR_25,35.6209,-120.6745,1.6
9244,SCPLB_04,33.96143,-117.6786,10.1
271395,Edgewood Tahoe Resort,38.965675,-119.947685,44.1
9274,CCA Crownridge and Royal Woods,34.133804,-118.47423,10.7
9282,CCA Alezane and Rugosa,38.679604,-121.15751,0.2
9294,CCA 121 and Waters,38.39922,-122.20406,0.9
271455,Alta Vista Way,37.390408,-121.815636,0.2
9314,SCTV_31,33.75001,-117.4686,13.1
9336,SCTV_42,33.76369,-117.4976,6.4
9340,SCTV_35,33.718006,-117.42663,11.0
9356,Oz Terramor,33.763885,-117.45995,10.3
9364,SCTV_39,33.77723,-117.50397,10.7
9386,SCTV_22,33.799255,-117.529816,10.3
9390,SCTV_09,33.719944,-117.42265,5.9
9392,SCTV_45,33.76107,-117.481445,13.4
9398,Sctv_03,33.746395,-117.46041,10.1
9408,SCTV_36 (Sky View),33.73609,-117.44975,13.2
271819,NASA_AERONET_Turlock_CA_USA,37.52387,-120.85586,2.2
271856,Cerezes,36.925613,-121.739914,2.6
271858,AllisonSt,36.90233,-121.73668,5.4
271866,Corralitos1,37.01897,-121.79427,2.5
271886,KCAPALMD242-PurpleAir,33.7044,-116.39562,1.9
9750,Las Cumbres,37.208908,-122.06513,0.1
271896,Pepper,34.18094,-118.10583,16.4
271908,Pajaro 4,36.897957,-121.74808,2.9
10544,R1180_UMCW,33.782234,-118.26753,7.4
272771,Pajaro2,36.90617,-121.74605,2.1
272777,"Glemar Street, Watsonville",36.92387,-121.75256,3.4
272833,Oak Tree Outdoors,38.269337,-122.41343,0.7
272891,Sotoyone Outside,39.242027,-120.04678,1.1
272935,Velaslavasay Panorama,34.034176,-118.28468,10.9
10862,AP1,34.094643,-118.348145,11.9
10872,R1180_SLKE,33.819134,-118.21148,6.0
10890,CLARS,34.221073,-118.05719,14.7
11006,Home-garage,33.974392,-118.3839,6.4
11024,DAAC Budlong and Milton,33.8437,-118.295074,7.0
11032,Hollister_snnyslp_ln,36.83655,-121.37074,1.8
11036,DAAC Berendo and Torrance,33.84206,-118.29277,6.8
11116,River House,36.454044,-118.89061,1.8
273327,APS,34.437,-119.70061,10.9
273367,Pali Purple,34.037914,-118.51946,7.1
273369,Cat city,33.79556,-116.45281,2.7
273383,Everett Ranch,38.611473,-122.891785,0.0
11344,CARB_SMOKE_SCAPCD_MONTAGUE_ELEMENTARY,41.728317,-122.52183,0.6
273491,Outside,34.183456,-118.116356,18.1
11354,CARB_SMOKE_LAKE_SHASTINA_CSD,41.528286,-122.364204,1.4
11406,West Sacramento YS,38.59525,-121.51833,0.9
11416,Winters YS,38.52555,-121.96753,32.6
11424,East Woodland YS,38.660984,-121.73263,1.3
273591,Victoria Falls,33.791794,-116.41321,2.2
273781,CARB_SMOKE_MCAPCD_PUBLICWORKS,37.461884,-119.9476,2.4
273783,CARB_SMOKE_MCAPCD_WOODLAND SCHOOL,37.450172,-119.848015,1.6
273785,CARB_SMOKE_MCAPCD_El Portal School_2,37.672935,-119.809006,1.3
273787,CARB_SMOKE_MPCAPCD_MCHS,37.488155,-119.9641,1.6
273795,"1425 Hidden Valley Road, Soquel",37.033356,-121.97321,3.2
11726,North Oakland IAQ house,37.84631,-122.26612,2.0
273885,West Page Street (SF),37.770172,-122.45305,3.9
11764,AYUNTAMIENTO DE MEXICALI - ESTACION PIMSA I,32.667515,-115.40884,0.0
11848,CARB_SMOKE_SCAPCD_McCLOUD_CSD,41.251923,-122.13784,5.2
11856,CARB_SMOKE_SLOAPCD_CALPOLY,35.300823,-120.659546,4.6
11876,CARB_SMOKE_SCAPCD_TULELAKE_ELEMENTARY,41.95589,-121.47909,0.1
11878,CARB_SCAPCD_TENNANT,41.5838,-121.9133,0.1
11884,CARB_SMOKE_SCAPCD_GRENADA_ELEMENTARY,41.645554,-122.52496,1.0
11886,CARB_SMOKE_SISKIYOU_APCD_CECILVILLE,41.141113,-123.14084,0.1
11904,CARB_SMOKE_SHASTAAQMD_FRENCHGULCH,40.70865,-122.63577,0.6
11916,CARB_SMOKE_SCAPCD_SRRC_SAWYERSBAR,41.301006,-123.13801,0.0
11936,CARB_River_Pines_Tower,38.545288,-120.74328,2.3
11948,CARB_SMOKE_MCAPCD_SFSC_CV,37.423794,-120.10115,1.4
11966,CARB_SMOKE_MCAPCD_Old_Elportal,37.67581,-119.77936,0.9
11980,AV-VIPERS,34.56548,-118.18113,2.8
12002,Hoopa HS,41.047115,-123.67523,1.3
274197,Archie Williams HS,37.983505,-122.573944,0.0
12084,CARB_S_GBUAPCD_RoundValley,37.43214,-118.593956,0.2
12094,AV-BOBCATS,34.61516,-118.29103,4.5
274235,Outside,37.519672,-122.28115,0.7
274245,Tamalpais HS,37.891815,-122.53001,0.9
12100,CARB_S_GBUAPCD_Bridgeport,38.254616,-119.22863,0.2
12106,CARB_S_GBUAPCD_BENTON,37.817146,-118.476814,0.4
12110,CARB_S_GBUAPCD_ColevilleElementary,38.567116,-119.50817,0.4
12112,MV_Aire Baja California-00008 https://www.facebook.com/Airebajacalifornia/,32.60977,-115.48622,4.8
12120,CARB_S_GBUAPCD_Markleeville,38.69398,-119.77933,0.5
12132,AV-EAGLES,34.61725,-118.19558,5.9
12136,AV-JETS,34.65164,-118.23021,6.0
12142,CARB_S_GBUAPCD_JuneLake,37.7831,-119.07319,0.9
12216,SCSB_32,33.770374,-118.08684,5.0
12272,Huntington,34.082874,-118.189514,12.6
274436,1418926,34.030994,-118.52077,8.8
12302,CARB_SMOKE_LCAPCD_RICHMOND,40.371674,-120.63871,1.5
12545,Tahoma,39.06234,-120.13282,1.2
12669,Eleda Drive,33.7959,-118.34845,6.2
12681,CARB_SMOKE_SLOAPCD_CRESTON,35.518394,-120.52318,2.2
274870,San Luis Rey pl,32.761425,-117.25147,6.1
12735,CARB_CCAPCD_WPOINT,38.39834,-120.526245,0.5
274900,Dana Hills,37.927982,-121.932755,0.9
12811,"6Sixty, Mountain View, CA 94043",37.40637,-122.06243,0.3
12825,Blue Ridge,36.28073,-118.77715,2.1
12865,Upland-North-McCarthy,34.136147,-117.65941,3.2
275036,Lili,34.17885,-118.122444,16.6
12945,Sunrise,38.802376,-119.793846,0.1
12971,"Olivenhain, CA",33.073772,-117.2061,6.1
12975,MountainView,38.80277,-121.23686,0.6
13015,"Kipling Drive, Carmichael",38.584885,-121.34694,0.9
13021,K6TD,37.32555,-122.05785,0.5
13039,Bridge Bay at Shasta Lake,40.754944,-122.32341,0.3
13077,Crone Corner Woodview Lane,37.406635,-119.8943,0.8
13143,120 pine ave,38.006317,-122.630646,0.0
13165,Incline Village Eastern Slope,39.265778,-119.94444,0.7
13173,Windemere,37.762238,-121.89888,1.2
