sensor_index,name,latitude,longitude,pm2.5,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
139538,South Sac Calvine,38.45195,-121.42778,1.8,POINT (-121.42778 38.45195),40900,"Sacramento-Roseville-Folsom, CA",8225,06067009610,Sacramento County,7064,0.80733295583239,0.388864660561128,0.084640426161586,0.213740458015267,0.071221771858715,14.2146030054645
139590,Pebblewood,38.621704,-121.49623,0.8,POINT (-121.49623 38.621704),40900,"Sacramento-Roseville-Folsom, CA",4812,06067007013,Sacramento County,2968,0.835916442048518,0.160714285714286,0.087191822008419,0.088376560999039,0.051899907321594,14.76915
139716,Home Outdoor,34.173416,-118.33745,9.1,POINT (-118.33745 34.173416),31080,"Los Angeles-Long Beach-Anaheim, CA",5794,06037311300,Los Angeles County,4090,0.467970660146699,0.07359413202934,0.037310373103731,0.091295811518325,0.036702767749699,11.4056202185792
139778,Carlton Tract East,38.53514,-121.4857,1.4,POINT (-121.4857 38.53514),40900,"Sacramento-Roseville-Folsom, CA",7855,06067003501,Sacramento County,2447,0.571311810380057,0.229260318757662,0.074918566775244,0.089828897338403,0.047786366830639,14.4926702185792
139788,Escaton Village Apartments,38.6367,-121.34802,0.0,POINT (-121.34802 38.6367),40900,"Sacramento-Roseville-Folsom, CA",4742,06067005901,Sacramento County,6211,0.307196908710353,0.187489462148036,0.031114327062229,0.017932896259159,0.011115095016135,14.6304581967213
140410,Lemon Grove Patio,32.737186,-117.0206,4.7,POINT (-117.0206 32.737186),41740,"San Diego-Chula Vista-Carlsbad, CA",5882,06073014001,San Diego County,5045,0.696531219028741,0.274376869391825,0.152453740949316,0.130043541364296,0.064777327935223,11.6175513661202
140412,EAST CLAIREMONT MESA,32.8038,-117.15689,2.3,POINT (-117.15689 32.8038),41740,"San Diego-Chula Vista-Carlsbad, CA",1470,06073008510,San Diego County,6006,0.522477522477522,0.288711288711289,0.052790346907994,0.067078189300412,0.08656482569526,11.8482713114754
140420,Carrie drive,39.14261,-121.039116,0.6,POINT (-121.039116 39.14261),46020,"Truckee-Grass Valley, CA",9076,06057000102,Nevada County,7117,0.109456231558241,0.173857507805847,0.037439268362389,0.054939057667819,0.014669051878354,12.2326762295082
140458,66th Street,38.523037,-121.42567,0.0,POINT (-121.42567 38.523037),40900,"Sacramento-Roseville-Folsom, CA",7244,06067003204,Sacramento County,5251,0.872976575890307,0.563345399123643,0.060985797827903,0.346266901822457,0.289415247964471,14.4029669398907
140536,Montalvin,37.998493,-122.335365,0.0,POINT (-122.335365 37.998493),41860,"San Francisco-Oakland-Fremont, CA",3676,06013392202,Contra Costa County,4724,0.74237933954276,0.122142252328535,0.070839580209895,0.131814248629939,0.097527472527473,10.9712193989071
140636,Zinfandel Ln,38.477413,-122.44961,0.0,POINT (-122.44961 38.477413),34900,"Napa, CA",4936,06055201500,Napa County,1668,0.342326139088729,0.193024654239327,0.052401746724891,0.056348610067618,0.012396694214876,10.3068426229508
140948,Chabot College,37.6409,-122.104,0.0,POINT (-122.104 37.6409),41860,"San Francisco-Oakland-Fremont, CA",3899,06001437200,Alameda County,8491,0.885879166175951,0.178721362600456,0.08996001776988,0.104610200643284,0.105122324159021,11.2367762295082
141514,Top of Cavedale,38.38552,-122.46352,0.0,POINT (-122.46352 38.38552),42220,"Santa Rosa-Petaluma, CA",1559,06097150502,Sonoma County,1322,0.263993948562784,0.254474708171206,0.091310751104566,0.044830741079597,0.0,10.0432590163934
141830,Winzer Place,36.994026,-121.59421,0.0,POINT (-121.59421 36.994026),41940,"San Jose-Sunnyvale-Santa Clara, CA",8805,06085512510,Santa Clara County,6844,0.616014026884863,0.184730144800351,0.063055316709659,0.136116547075451,0.066825775656325,9.68384426229508
142578,Biscayne,38.556004,-121.79213,0.0,POINT (-121.79213 38.556004),40900,"Sacramento-Roseville-Folsom, CA",4618,06113010508,Yolo County,2519,0.34259626836046,0.175069472012703,0.026372059871703,0.006555423122765,0.01125703564728,13.2821292349727
142608,Villa Marina Townhomes,33.98141,-118.43665,8.2,POINT (-118.43665 33.98141),31080,"Los Angeles-Long Beach-Anaheim, CA",117,06037275312,Los Angeles County,1991,0.26067302862883,0.147162230035158,0.03601108033241,0.007233273056058,0.042553191489362,11.9966330601093
142658,McAllister,37.77552,-122.45685,2.1,POINT (-122.45685 37.77552),41860,"San Francisco-Oakland-Fremont, CA",3844,06075015600,San Francisco County,2988,0.632864792503347,0.259705488621151,0.026123936816525,0.110050022737608,0.161477190441709,9.979184699453548
142964,Beegum,37.249977,-121.81632,4.5,POINT (-121.81632 37.249977),41940,"San Jose-Sunnyvale-Santa Clara, CA",6063,06085512029,Santa Clara County,7849,0.580583513823417,0.0919173890872,0.083712465878071,0.064328657314629,0.052066772655008,10.9358846994536
144494,Orinda Academy,37.883797,-122.18356,1.2,POINT (-122.18356 37.883797),41860,"San Francisco-Oakland-Fremont, CA",3145,06013354002,Contra Costa County,6943,0.236065101541121,0.101175787487299,0.051661730832511,0.02526031623602,0.055966209081309,11.4690010928962
144610,balcony,37.575924,-122.34257,0.7,POINT (-122.34257 37.575924),41860,"San Francisco-Oakland-Fremont, CA",2969,06081605502,San Mateo County,2599,0.510965756060023,0.081269349845201,0.059027777777778,0.016756756756757,0.0,9.81361475409836
144738,Chester St.,37.229755,-121.97713,0.0,POINT (-121.97713 37.229755),41940,"San Jose-Sunnyvale-Santa Clara, CA",5134,06085507100,Santa Clara County,3029,0.220204688015847,0.074281941234731,0.035514018691589,0.024943310657596,0.046796256299496,10.4046360655738
145924,RHiguera,37.49703,-121.90754,0.0,POINT (-121.90754 37.49703),41860,"San Francisco-Oakland-Fremont, CA",5987,06001443200,Alameda County,3611,0.857103295486015,0.052617003600111,0.061872909698997,0.037022753567297,0.099911582670203,11.3683707650273
146348,Belmont Heights and Belmont Open Space,37.503647,-122.30241,1.0,POINT (-122.30241 37.503647),41860,"San Francisco-Oakland-Fremont, CA",8486,06081608900,San Mateo County,7303,0.557989867177872,0.172909467864547,0.109367455335587,0.047810218978102,0.040822886531662,9.67562677595628
146584,Yuba Crest,39.279247,-121.11321,1.7,POINT (-121.11321 39.279247),46020,"Truckee-Grass Valley, CA",1976,06057000900,Nevada County,3765,0.179814077025232,0.327609337268581,0.021739130434783,0.043449197860963,0.0,10.3375683060109
146680,743 S. MARK ST. TULARE CA,36.19898,-119.3184,0.1,POINT (-119.3184 36.19898),47300,"Visalia, CA",886,06107002903,Tulare County,5608,0.671184022824536,0.327830611878701,0.083068221986568,0.24011544011544,0.046894031668697,21.3131412568306
146690,4-Acre Farm,38.397717,-122.74844,0.0,POINT (-122.74844 38.397717),42220,"Santa Rosa-Petaluma, CA",1181,06097153301,Sonoma County,6584,0.515492102065614,0.292114145443388,0.056434599156118,0.107118015302574,0.059364933271974,9.142387158469948
146742,Loomis Basin Charter School PA,38.789604,-121.1708,1.1,POINT (-121.1708 38.789604),40900,"Sacramento-Roseville-Folsom, CA",2221,06061020607,Placer County,5767,0.17357378186232,0.123585726718886,0.049592391304348,0.024613773239068,0.005194805194805,13.6961494535519
146752,Home,37.37052,-122.04724,0.5,POINT (-122.04724 37.37052),41940,"San Jose-Sunnyvale-Santa Clara, CA",5727,06085508404,Santa Clara County,6553,0.630093087135663,0.124675721043797,0.062249614791988,0.016728220725614,0.097099621689786,10.7460822404372
146816,Burbank Neighborhood,37.32004,-121.929115,0.0,POINT (-121.929115 37.32004),41940,"San Jose-Sunnyvale-Santa Clara, CA",5141,06085502001,Santa Clara County,4767,0.621355149989511,0.158050221565731,0.02557200538358,0.146766169154229,0.12992125984252,11.211212295082
146872,Kingdom Stage,38.13848,-122.23362,0.5,POINT (-122.23362 38.13848),46700,"Vallejo, CA",1166,06095251901,Solano County,5762,0.828184658104825,0.365599404318689,0.118637431480031,0.171501925545571,0.048272078990675,11.2450278688525
146882,VLV Air,35.264194,-120.70959,4.4,POINT (-120.70959 35.264194),42020,"San Luis Obispo-Paso Robles, CA",6306,06079011300,San Luis Obispo County,6429,0.323067351065485,0.332395686826067,0.085045662100457,0.057445370578959,0.020976353928299,8.5444631147541
